Orthogroup	balsam	canaan	fraser
OG0087128	BalsamFir9047		
OG0087129	BalsamFir9165		
OG0087130	BalsamFir9205		
OG0087131	BalsamFir9308		
OG0087132	BalsamFir9325		
OG0087133	BalsamFir9383		
OG0087134	BalsamFir9419		
OG0087135	BalsamFir9454		
OG0087136	BalsamFir9484		
OG0087137	BalsamFir9545		
OG0087138	BalsamFir9670		
OG0087139	BalsamFir9781		
OG0087140	BalsamFir9786		
OG0087141	BalsamFir9796		
OG0087142	BalsamFir9830		
OG0087143	BalsamFir9873		
OG0087144	BalsamFir9880		
OG0087145	BalsamFir9887		
OG0087146	BalsamFir9947		
OG0087147	BalsamFir10012		
OG0087148	BalsamFir10136		
OG0087149	BalsamFir10214		
OG0087150	BalsamFir10253		
OG0087151	BalsamFir10308		
OG0087152	BalsamFir10317		
OG0087153	BalsamFir10325		
OG0087154	BalsamFir10419		
OG0087155	BalsamFir10489		
OG0087156	BalsamFir10539		
OG0087157	BalsamFir10657		
OG0087158	BalsamFir10678		
OG0087159	BalsamFir10710		
OG0087160	BalsamFir10715		
OG0087161	BalsamFir10774		
OG0087162	BalsamFir10777		
OG0087163	BalsamFir10792		
OG0087164	BalsamFir10833		
OG0087165	BalsamFir10882		
OG0087166	BalsamFir10889		
OG0087167	BalsamFir10945		
OG0087168	BalsamFir11024		
OG0087169	BalsamFir11040		
OG0087170	BalsamFir11102		
OG0087171	BalsamFir11237		
OG0087172	BalsamFir11277		
OG0087173	BalsamFir11326		
OG0087174	BalsamFir11339		
OG0087175	BalsamFir11368		
OG0087176	BalsamFir11393		
OG0087177	BalsamFir11448		
OG0087178	BalsamFir11453		
OG0087179	BalsamFir11492		
OG0087180	BalsamFir11512		
OG0087181	BalsamFir11633		
OG0087182	BalsamFir11702		
OG0087183	BalsamFir11745		
OG0087184	BalsamFir11772		
OG0087185	BalsamFir11779		
OG0087186	BalsamFir11780		
OG0087187	BalsamFir11891		
OG0087188	BalsamFir11894		
OG0087189	BalsamFir12000		
OG0087190	BalsamFir12067		
OG0087191	BalsamFir12068		
OG0087192	BalsamFir12085		
OG0087193	BalsamFir12207		
OG0087194	BalsamFir12252		
OG0087195	BalsamFir12268		
OG0087196	BalsamFir12287		
OG0087197	BalsamFir12306		
OG0087198	BalsamFir12325		
OG0087199	BalsamFir12396		
OG0087200	BalsamFir12500		
OG0087201	BalsamFir12711		
OG0087202	BalsamFir12800		
OG0087203	BalsamFir12804		
OG0087204	BalsamFir12922		
OG0087205	BalsamFir12945		
OG0087206	BalsamFir12968		
OG0087207	BalsamFir13028		
OG0087208	BalsamFir13193		
OG0087209	BalsamFir13346		
OG0087210	BalsamFir13424		
OG0087211	BalsamFir13458		
OG0087212	BalsamFir13486		
OG0087213	BalsamFir13570		
OG0087214	BalsamFir13740		
OG0087215	BalsamFir13833		
OG0087216	BalsamFir13840		
OG0087217	BalsamFir13854		
OG0087218	BalsamFir13898		
OG0087219	BalsamFir13994		
OG0087220	BalsamFir13995		
OG0087221	BalsamFir14053		
OG0087222	BalsamFir14243		
OG0087223	BalsamFir14434		
OG0087224	BalsamFir14459		
OG0087225	BalsamFir14463		
OG0087226	BalsamFir14466		
OG0087227	BalsamFir14471		
OG0087228	BalsamFir14516		
OG0087229	BalsamFir14588		
OG0087230	BalsamFir14590		
OG0087231	BalsamFir14760		
OG0087232	BalsamFir14906		
OG0087233	BalsamFir14910		
OG0087234	BalsamFir14972		
OG0087235	BalsamFir15001		
OG0087236	BalsamFir15027		
OG0087237	BalsamFir15034		
OG0087238	BalsamFir15044		
OG0087239	BalsamFir15065		
OG0087240	BalsamFir15142		
OG0087241	BalsamFir15144		
OG0087242	BalsamFir15222		
OG0087243	BalsamFir15230		
OG0087244	BalsamFir15317		
OG0087245	BalsamFir15368		
OG0087246	BalsamFir15439		
OG0087247	BalsamFir15447		
OG0087248	BalsamFir15528		
OG0087249	BalsamFir15562		
OG0087250	BalsamFir15564		
OG0087251	BalsamFir15572		
OG0087252	BalsamFir15601		
OG0087253	BalsamFir15667		
OG0087254	BalsamFir15684		
OG0087255	BalsamFir15734		
OG0087256	BalsamFir15737		
OG0087257	BalsamFir15767		
OG0087258	BalsamFir15816		
OG0087259	BalsamFir15948		
OG0087260	BalsamFir15979		
OG0087261	BalsamFir15982		
OG0087262	BalsamFir16026		
OG0087263	BalsamFir16039		
OG0087264	BalsamFir16105		
OG0087265	BalsamFir16129		
OG0087266	BalsamFir16292		
OG0087267	BalsamFir16324		
OG0087268	BalsamFir16375		
OG0087269	BalsamFir16386		
OG0087270	BalsamFir16469		
OG0087271	BalsamFir16486		
OG0087272	BalsamFir16526		
OG0087273	BalsamFir16528		
OG0087274	BalsamFir16593		
OG0087275	BalsamFir16605		
OG0087276	BalsamFir16633		
OG0087277	BalsamFir16638		
OG0087278	BalsamFir16693		
OG0087279	BalsamFir16752		
OG0087280	BalsamFir16766		
OG0087281	BalsamFir16819		
OG0087282	BalsamFir16824		
OG0087283	BalsamFir16838		
OG0087284	BalsamFir16853		
OG0087285	BalsamFir16924		
OG0087286	BalsamFir17019		
OG0087287	BalsamFir17025		
OG0087288	BalsamFir17032		
OG0087289	BalsamFir17170		
OG0087290	BalsamFir17241		
OG0087291	BalsamFir17320		
OG0087292	BalsamFir17321		
OG0087293	BalsamFir17420		
OG0087294	BalsamFir17437		
OG0087295	BalsamFir17438		
OG0087296	BalsamFir17514		
OG0087297	BalsamFir17535		
OG0087298	BalsamFir17549		
OG0087299	BalsamFir17645		
OG0087300	BalsamFir17660		
OG0087301	BalsamFir17727		
OG0087302	BalsamFir17740		
OG0087303	BalsamFir17754		
OG0087304	BalsamFir17905		
OG0087305	BalsamFir17930		
OG0087306	BalsamFir17933		
OG0087307	BalsamFir17967		
OG0087308	BalsamFir18013		
OG0087309	BalsamFir18055		
OG0087310	BalsamFir18114		
OG0087311	BalsamFir18145		
OG0087312	BalsamFir18187		
OG0087313	BalsamFir18204		
OG0087314	BalsamFir18288		
OG0087315	BalsamFir18366		
OG0087316	BalsamFir18377		
OG0087317	BalsamFir18378		
OG0087318	BalsamFir18397		
OG0087319	BalsamFir18435		
OG0087320	BalsamFir18450		
OG0087321	BalsamFir18467		
OG0087322	BalsamFir18474		
OG0087323	BalsamFir18483		
OG0087324	BalsamFir18494		
OG0087325	BalsamFir18576		
OG0087326	BalsamFir18582		
OG0087327	BalsamFir18589		
OG0087328	BalsamFir18719		
OG0087329	BalsamFir18794		
OG0087330	BalsamFir18808		
OG0087331	BalsamFir18817		
OG0087332	BalsamFir18926		
OG0087333	BalsamFir19006		
OG0087334	BalsamFir19070		
OG0087335	BalsamFir19143		
OG0087336	BalsamFir19160		
OG0087337	BalsamFir19206		
OG0087338	BalsamFir19213		
OG0087339	BalsamFir19230		
OG0087340	BalsamFir19275		
OG0087341	BalsamFir19295		
OG0087342	BalsamFir19320		
OG0087343	BalsamFir19353		
OG0087344	BalsamFir19388		
OG0087345	BalsamFir19391		
OG0087346	BalsamFir19404		
OG0087347	BalsamFir19455		
OG0087348	BalsamFir19477		
OG0087349	BalsamFir19541		
OG0087350	BalsamFir19636		
OG0087351	BalsamFir19657		
OG0087352	BalsamFir19670		
OG0087353	BalsamFir19689		
OG0087354	BalsamFir19706		
OG0087355	BalsamFir19709		
OG0087356	BalsamFir19712		
OG0087357	BalsamFir19738		
OG0087358	BalsamFir19751		
OG0087359	BalsamFir19831		
OG0087360	BalsamFir19892		
OG0087361	BalsamFir19951		
OG0087362	BalsamFir19971		
OG0087363	BalsamFir20164		
OG0087364	BalsamFir20249		
OG0087365	BalsamFir20318		
OG0087366	BalsamFir20323		
OG0087367	BalsamFir20353		
OG0087368	BalsamFir20440		
OG0087369	BalsamFir20476		
OG0087370	BalsamFir20478		
OG0087371	BalsamFir20483		
OG0087372	BalsamFir20485		
OG0087373	BalsamFir20552		
OG0087374	BalsamFir20611		
OG0087375	BalsamFir20627		
OG0087376	BalsamFir20692		
OG0087377	BalsamFir20699		
OG0087378	BalsamFir20718		
OG0087379	BalsamFir20806		
OG0087380	BalsamFir20821		
OG0087381	BalsamFir20901		
OG0087382	BalsamFir21012		
OG0087383	BalsamFir21029		
OG0087384	BalsamFir21030		
OG0087385	BalsamFir21072		
OG0087386	BalsamFir21074		
OG0087387	BalsamFir21081		
OG0087388	BalsamFir21110		
OG0087389	BalsamFir21116		
OG0087390	BalsamFir21146		
OG0087391	BalsamFir21151		
OG0087392	BalsamFir21204		
OG0087393	BalsamFir21240		
OG0087394	BalsamFir21278		
OG0087395	BalsamFir21299		
OG0087396	BalsamFir21313		
OG0087397	BalsamFir21321		
OG0087398	BalsamFir21338		
OG0087399	BalsamFir21375		
OG0087400	BalsamFir21391		
OG0087401	BalsamFir21467		
OG0087402	BalsamFir21516		
OG0087403	BalsamFir21559		
OG0087404	BalsamFir21656		
OG0087405	BalsamFir21681		
OG0087406	BalsamFir21719		
OG0087407	BalsamFir21724		
OG0087408	BalsamFir21821		
OG0087409	BalsamFir21861		
OG0087410	BalsamFir21888		
OG0087411	BalsamFir21893		
OG0087412	BalsamFir21953		
OG0087413	BalsamFir21958		
OG0087414	BalsamFir21969		
OG0087415	BalsamFir21982		
OG0087416	BalsamFir21997		
OG0087417	BalsamFir22001		
OG0087418	BalsamFir22049		
OG0087419	BalsamFir22093		
OG0087420	BalsamFir22170		
OG0087421	BalsamFir22171		
OG0087422	BalsamFir22199		
OG0087423	BalsamFir22212		
OG0087424	BalsamFir22232		
OG0087425	BalsamFir22434		
OG0087426	BalsamFir22460		
OG0087427	BalsamFir22462		
OG0087428	BalsamFir22547		
OG0087429	BalsamFir22556		
OG0087430	BalsamFir22561		
OG0087431	BalsamFir22596		
OG0087432	BalsamFir22608		
OG0087433	BalsamFir22609		
OG0087434	BalsamFir22630		
OG0087435	BalsamFir22631		
OG0087436	BalsamFir22643		
OG0087437	BalsamFir22670		
OG0087438	BalsamFir22706		
OG0087439	BalsamFir22732		
OG0087440	BalsamFir22743		
OG0087441	BalsamFir22831		
OG0087442	BalsamFir22840		
OG0087443	BalsamFir22866		
OG0087444	BalsamFir22892		
OG0087445	BalsamFir22909		
OG0087446	BalsamFir22922		
OG0087447	BalsamFir22994		
OG0087448	BalsamFir22996		
OG0087449	BalsamFir23061		
OG0087450	BalsamFir23104		
OG0087451	BalsamFir23120		
OG0087452	BalsamFir23142		
OG0087453	BalsamFir23193		
OG0087454	BalsamFir23219		
OG0087455	BalsamFir23260		
OG0087456	BalsamFir23287		
OG0087457	BalsamFir23363		
OG0087458	BalsamFir23368		
OG0087459	BalsamFir23397		
OG0087460	BalsamFir23467		
OG0087461	BalsamFir23503		
OG0087462	BalsamFir23529		
OG0087463	BalsamFir23659		
OG0087464	BalsamFir23673		
OG0087465	BalsamFir23734		
OG0087466	BalsamFir23758		
OG0087467	BalsamFir23769		
OG0087468	BalsamFir23811		
OG0087469	BalsamFir23820		
OG0087470	BalsamFir23915		
OG0087471	BalsamFir23932		
OG0087472	BalsamFir23995		
OG0087473	BalsamFir24006		
OG0087474	BalsamFir24019		
OG0087475	BalsamFir24041		
OG0087476	BalsamFir24052		
OG0087477	BalsamFir24063		
OG0087478	BalsamFir24096		
OG0087479	BalsamFir24247		
OG0087480	BalsamFir24251		
OG0087481	BalsamFir24273		
OG0087482	BalsamFir24299		
OG0087483	BalsamFir24362		
OG0087484	BalsamFir24408		
OG0087485	BalsamFir24440		
OG0087486	BalsamFir24477		
OG0087487	BalsamFir24478		
OG0087488	BalsamFir24480		
OG0087489	BalsamFir24494		
OG0087490	BalsamFir24496		
OG0087491	BalsamFir24540		
OG0087492	BalsamFir24566		
OG0087493	BalsamFir24576		
OG0087494	BalsamFir24618		
OG0087495	BalsamFir24619		
OG0087496	BalsamFir24647		
OG0087497	BalsamFir24667		
OG0087498	BalsamFir24695		
OG0087499	BalsamFir24705		
OG0087500	BalsamFir24734		
OG0087501	BalsamFir24745		
OG0087502	BalsamFir24805		
OG0087503	BalsamFir24842		
OG0087504	BalsamFir24852		
OG0087505	BalsamFir24860		
OG0087506	BalsamFir24886		
OG0087507	BalsamFir24895		
OG0087508	BalsamFir24971		
OG0087509	BalsamFir24982		
OG0087510	BalsamFir24986		
OG0087511	BalsamFir25004		
OG0087512	BalsamFir25067		
OG0087513	BalsamFir25113		
OG0087514	BalsamFir25117		
OG0087515	BalsamFir25129		
OG0087516	BalsamFir25174		
OG0087517	BalsamFir25195		
OG0087518	BalsamFir25255		
OG0087519	BalsamFir25263		
OG0087520	BalsamFir25291		
OG0087521	BalsamFir25302		
OG0087522	BalsamFir25350		
OG0087523	BalsamFir25400		
OG0087524	BalsamFir25415		
OG0087525	BalsamFir25431		
OG0087526	BalsamFir25508		
OG0087527	BalsamFir25517		
OG0087528	BalsamFir25532		
OG0087529	BalsamFir25540		
OG0087530	BalsamFir25546		
OG0087531	BalsamFir25558		
OG0087532	BalsamFir25596		
OG0087533	BalsamFir25708		
OG0087534	BalsamFir25730		
OG0087535	BalsamFir25742		
OG0087536	BalsamFir25784		
OG0087537	BalsamFir25841		
OG0087538	BalsamFir25879		
OG0087539	BalsamFir25938		
OG0087540	BalsamFir25965		
OG0087541	BalsamFir26021		
OG0087542	BalsamFir26022		
OG0087543	BalsamFir26050		
OG0087544	BalsamFir26075		
OG0087545	BalsamFir26079		
OG0087546	BalsamFir26084		
OG0087547	BalsamFir26151		
OG0087548	BalsamFir26156		
OG0087549	BalsamFir26162		
OG0087550	BalsamFir26182		
OG0087551	BalsamFir26209		
OG0087552	BalsamFir26312		
OG0087553	BalsamFir26321		
OG0087554	BalsamFir26413		
OG0087555	BalsamFir26472		
OG0087556	BalsamFir26474		
OG0087557	BalsamFir26479		
OG0087558	BalsamFir26521		
OG0087559	BalsamFir26526		
OG0087560	BalsamFir26528		
OG0087561	BalsamFir26536		
OG0087562	BalsamFir26566		
OG0087563	BalsamFir26575		
OG0087564	BalsamFir26595		
OG0087565	BalsamFir26616		
OG0087566	BalsamFir26627		
OG0087567	BalsamFir26634		
OG0087568	BalsamFir26643		
OG0087569	BalsamFir26651		
OG0087570	BalsamFir26669		
OG0087571	BalsamFir26682		
OG0087572	BalsamFir26725		
OG0087573	BalsamFir26755		
OG0087574	BalsamFir26828		
OG0087575	BalsamFir26834		
OG0087576	BalsamFir26840		
OG0087577	BalsamFir26937		
OG0087578	BalsamFir26963		
OG0087579	BalsamFir27054		
OG0087580	BalsamFir27087		
OG0087581	BalsamFir27119		
OG0087582	BalsamFir27123		
OG0087583	BalsamFir27124		
OG0087584	BalsamFir27133		
OG0087585	BalsamFir27148		
OG0087586	BalsamFir27157		
OG0087587	BalsamFir27197		
OG0087588	BalsamFir27246		
OG0087589	BalsamFir27272		
OG0087590	BalsamFir27279		
OG0087591	BalsamFir27357		
OG0087592	BalsamFir27358		
OG0087593	BalsamFir27396		
OG0087594	BalsamFir27398		
OG0087595	BalsamFir27421		
OG0087596	BalsamFir27438		
OG0087597	BalsamFir27489		
OG0087598	BalsamFir27521		
OG0087599	BalsamFir27530		
OG0087600	BalsamFir27557		
OG0087601	BalsamFir27563		
OG0087602	BalsamFir27569		
OG0087603	BalsamFir27574		
OG0087604	BalsamFir27588		
OG0087605	BalsamFir27601		
OG0087606	BalsamFir27625		
OG0087607	BalsamFir27690		
OG0087608	BalsamFir27715		
OG0087609	BalsamFir27720		
OG0087610	BalsamFir27777		
OG0087611	BalsamFir27794		
OG0087612	BalsamFir27816		
OG0087613	BalsamFir27876		
OG0087614	BalsamFir27881		
OG0087615	BalsamFir27888		
OG0087616	BalsamFir27892		
OG0087617	BalsamFir27919		
OG0087618	BalsamFir28000		
OG0087619	BalsamFir28009		
OG0087620	BalsamFir28056		
OG0087621	BalsamFir28067		
OG0087622	BalsamFir28068		
OG0087623	BalsamFir28096		
OG0087624	BalsamFir28116		
OG0087625	BalsamFir28117		
OG0087626	BalsamFir28135		
OG0087627	BalsamFir28153		
OG0087628	BalsamFir28155		
OG0087629	BalsamFir28160		
OG0087630	BalsamFir28167		
OG0087631	BalsamFir28195		
OG0087632	BalsamFir28205		
OG0087633	BalsamFir28248		
OG0087634	BalsamFir28280		
OG0087635	BalsamFir28326		
OG0087636	BalsamFir28351		
OG0087637	BalsamFir28378		
OG0087638	BalsamFir28385		
OG0087639	BalsamFir28486		
OG0087640	BalsamFir28509		
OG0087641	BalsamFir28519		
OG0087642	BalsamFir28535		
OG0087643	BalsamFir28538		
OG0087644	BalsamFir28562		
OG0087645	BalsamFir28595		
OG0087646	BalsamFir28602		
OG0087647	BalsamFir28607		
OG0087648	BalsamFir28626		
OG0087649	BalsamFir28642		
OG0087650	BalsamFir28745		
OG0087651	BalsamFir28768		
OG0087652	BalsamFir28800		
OG0087653	BalsamFir28809		
OG0087654	BalsamFir28829		
OG0087655	BalsamFir28832		
OG0087656	BalsamFir28839		
OG0087657	BalsamFir28887		
OG0087658	BalsamFir28888		
OG0087659	BalsamFir28893		
OG0087660	BalsamFir28955		
OG0087661	BalsamFir28984		
OG0087662	BalsamFir29013		
OG0087663	BalsamFir29039		
OG0087664	BalsamFir29046		
OG0087665	BalsamFir29049		
OG0087666	BalsamFir29081		
OG0087667	BalsamFir29118		
OG0087668	BalsamFir29131		
OG0087669	BalsamFir29133		
OG0087670	BalsamFir29144		
OG0087671	BalsamFir29156		
OG0087672	BalsamFir29191		
OG0087673	BalsamFir29197		
OG0087674	BalsamFir29239		
OG0087675	BalsamFir29274		
OG0087676	BalsamFir29283		
OG0087677	BalsamFir29288		
OG0087678	BalsamFir29297		
OG0087679	BalsamFir29326		
OG0087680	BalsamFir29331		
OG0087681	BalsamFir29342		
OG0087682	BalsamFir29394		
OG0087683	BalsamFir29416		
OG0087684	BalsamFir29443		
OG0087685	BalsamFir29462		
OG0087686	BalsamFir29487		
OG0087687	BalsamFir29514		
OG0087688	BalsamFir29538		
OG0087689	BalsamFir29543		
OG0087690	BalsamFir29550		
OG0087691	BalsamFir29593		
OG0087692	BalsamFir29600		
OG0087693	BalsamFir29622		
OG0087694	BalsamFir29652		
OG0087695	BalsamFir29653		
OG0087696	BalsamFir29666		
OG0087697	BalsamFir29671		
OG0087698	BalsamFir29681		
OG0087699	BalsamFir29699		
OG0087700	BalsamFir29737		
OG0087701	BalsamFir29744		
OG0087702	BalsamFir29789		
OG0087703	BalsamFir29790		
OG0087704	BalsamFir29820		
OG0087705	BalsamFir29826		
OG0087706	BalsamFir29841		
OG0087707	BalsamFir29912		
OG0087708	BalsamFir29977		
OG0087709	BalsamFir30093		
OG0087710	BalsamFir30101		
OG0087711	BalsamFir30102		
OG0087712	BalsamFir30124		
OG0087713	BalsamFir30131		
OG0087714	BalsamFir30186		
OG0087715	BalsamFir30188		
OG0087716	BalsamFir30216		
OG0087717	BalsamFir30274		
OG0087718	BalsamFir30294		
OG0087719	BalsamFir30295		
OG0087720	BalsamFir30325		
OG0087721	BalsamFir30337		
OG0087722	BalsamFir30396		
OG0087723	BalsamFir30403		
OG0087724	BalsamFir30415		
OG0087725	BalsamFir30476		
OG0087726	BalsamFir30478		
OG0087727	BalsamFir30498		
OG0087728	BalsamFir30504		
OG0087729	BalsamFir30516		
OG0087730	BalsamFir30527		
OG0087731	BalsamFir30534		
OG0087732	BalsamFir30590		
OG0087733	BalsamFir30639		
OG0087734	BalsamFir30656		
OG0087735	BalsamFir30699		
OG0087736	BalsamFir30701		
OG0087737	BalsamFir30723		
OG0087738	BalsamFir30725		
OG0087739	BalsamFir30756		
OG0087740	BalsamFir30796		
OG0087741	BalsamFir30802		
OG0087742	BalsamFir30818		
OG0087743	BalsamFir30820		
OG0087744	BalsamFir30824		
OG0087745	BalsamFir30830		
OG0087746	BalsamFir30842		
OG0087747	BalsamFir30851		
OG0087748	BalsamFir30867		
OG0087749	BalsamFir30870		
OG0087750	BalsamFir30877		
OG0087751	BalsamFir30879		
OG0087752	BalsamFir30927		
OG0087753	BalsamFir30960		
OG0087754	BalsamFir30973		
OG0087755	BalsamFir30998		
OG0087756	BalsamFir31038		
OG0087757	BalsamFir31042		
OG0087758	BalsamFir31059		
OG0087759	BalsamFir31061		
OG0087760	BalsamFir31069		
OG0087761	BalsamFir31114		
OG0087762	BalsamFir31135		
OG0087763	BalsamFir31160		
OG0087764	BalsamFir31177		
OG0087765	BalsamFir31182		
OG0087766	BalsamFir31188		
OG0087767	BalsamFir31193		
OG0087768	BalsamFir31199		
OG0087769	BalsamFir31208		
OG0087770	BalsamFir31275		
OG0087771	BalsamFir31300		
OG0087772	BalsamFir31302		
OG0087773	BalsamFir31321		
OG0087774	BalsamFir31338		
OG0087775	BalsamFir31373		
OG0087776	BalsamFir31429		
OG0087777	BalsamFir31432		
OG0087778	BalsamFir31441		
OG0087779	BalsamFir31457		
OG0087780	BalsamFir31473		
OG0087781	BalsamFir31523		
OG0087782	BalsamFir31527		
OG0087783	BalsamFir31550		
OG0087784	BalsamFir31602		
OG0087785	BalsamFir31704		
OG0087786	BalsamFir31708		
OG0087787	BalsamFir31715		
OG0087788	BalsamFir31723		
OG0087789	BalsamFir31727		
OG0087790	BalsamFir31733		
OG0087791	BalsamFir31760		
OG0087792	BalsamFir31782		
OG0087793	BalsamFir31792		
OG0087794	BalsamFir31831		
OG0087795	BalsamFir31836		
OG0087796	BalsamFir31852		
OG0087797	BalsamFir31858		
OG0087798	BalsamFir31866		
OG0087799	BalsamFir31876		
OG0087800	BalsamFir31895		
OG0087801	BalsamFir31927		
OG0087802	BalsamFir31932		
OG0087803	BalsamFir31954		
OG0087804	BalsamFir31981		
OG0087805	BalsamFir32041		
OG0087806	BalsamFir32042		
OG0087807	BalsamFir32057		
OG0087808	BalsamFir32059		
OG0087809	BalsamFir32078		
OG0087810	BalsamFir32099		
OG0087811	BalsamFir32100		
OG0087812	BalsamFir32108		
OG0087813	BalsamFir32117		
OG0087814	BalsamFir32146		
OG0087815	BalsamFir32165		
OG0087816	BalsamFir32168		
OG0087817	BalsamFir32187		
OG0087818	BalsamFir32202		
OG0087819	BalsamFir32225		
OG0087820	BalsamFir32232		
OG0087821	BalsamFir32276		
OG0087822	BalsamFir32318		
OG0087823	BalsamFir32375		
OG0087824	BalsamFir32424		
OG0087825	BalsamFir32477		
OG0087826	BalsamFir32485		
OG0087827	BalsamFir32562		
OG0087828	BalsamFir32577		
OG0087829	BalsamFir32582		
OG0087830	BalsamFir32635		
OG0087831	BalsamFir32690		
OG0087832	BalsamFir32699		
OG0087833	BalsamFir32716		
OG0087834	BalsamFir32720		
OG0087835	BalsamFir32725		
OG0087836	BalsamFir32773		
OG0087837	BalsamFir32791		
OG0087838	BalsamFir32800		
OG0087839	BalsamFir32803		
OG0087840	BalsamFir32817		
OG0087841	BalsamFir32824		
OG0087842	BalsamFir32827		
OG0087843	BalsamFir32834		
OG0087844	BalsamFir32854		
OG0087845	BalsamFir32864		
OG0087846	BalsamFir32866		
OG0087847	BalsamFir32874		
OG0087848	BalsamFir32890		
OG0087849	BalsamFir32901		
OG0087850	BalsamFir32924		
OG0087851	BalsamFir32929		
OG0087852	BalsamFir32947		
OG0087853	BalsamFir32957		
OG0087854	BalsamFir32966		
OG0087855	BalsamFir32986		
OG0087856	BalsamFir33038		
OG0087857	BalsamFir33051		
OG0087858	BalsamFir33062		
OG0087859	BalsamFir33083		
OG0087860	BalsamFir33101		
OG0087861	BalsamFir33111		
